ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,62307.777403482,53595.14076024743,70521.71580422058,62307.777403482,62307.777403482,-470.1298539399773,-470.1298539399773,-470.1298539399773,-470.1298539399773,-470.1298539399773,-470.1298539399773,0.0,0.0,0.0,61837.64754954202
2024-01-02,62307.31310094683,52150.79424940702,70692.6285282831,62307.31310094683,62307.31310094683,-732.4226955542274,-732.4226955542274,-732.4226955542274,-732.4226955542274,-732.4226955542274,-732.4226955542274,0.0,0.0,0.0,61574.8904053926
2024-01-03,62306.84879841166,54522.80754179671,72158.62980368403,62306.84879841166,62306.84879841166,1029.5573923493582,1029.5573923493582,1029.5573923493582,1029.5573923493582,1029.5573923493582,1029.5573923493582,0.0,0.0,0.0,63336.406190761016
2024-01-04,62306.384495876475,54298.52014245327,71982.18425992943,62306.384495876475,62306.384495876475,481.1919617970031,481.1919617970031,481.1919617970031,481.1919617970031,481.1919617970031,481.1919617970031,0.0,0.0,0.0,62787.57645767348
2024-01-05,62305.920193341306,52863.13016271206,70344.17225424544,62305.920193341306,62305.920193341306,-484.27254119947696,-484.27254119947696,-484.27254119947696,-484.27254119947696,-484.27254119947696,-484.27254119947696,0.0,0.0,0.0,61821.64765214183
2024-01-06,62305.45589080612,53836.41811581932,71388.61438677929,62305.45589080612,62305.45589080612,586.0697925590039,586.0697925590039,586.0697925590039,586.0697925590039,586.0697925590039,586.0697925590039,0.0,0.0,0.0,62891.52568336513
2024-01-07,62304.991588270954,53624.00360173884,70206.84706694483,62304.991588270954,62304.991588270954,-409.99405601403225,-409.99405601403225,-409.99405601403225,-409.99405601403225,-409.99405601403225,-409.99405601403225,0.0,0.0,0.0,61894.99753225692
2024-01-08,62304.52728573578,52907.1299323865,70696.21467525637,62304.52728573578,62304.52728573578,-470.1298539385555,-470.1298539385555,-470.1298539385555,-470.1298539385555,-470.1298539385555,-470.1298539385555,0.0,0.0,0.0,61834.397431797224
2024-01-09,62304.062983200594,52558.97381487916,70994.02914140464,62304.062983200594,62304.062983200594,-732.4226955526922,-732.4226955526922,-732.4226955526922,-732.4226955526922,-732.4226955526922,-732.4226955526922,0.0,0.0,0.0,61571.640287647904
2024-01-10,62303.598680665425,54634.01053765751,72139.49460546947,62303.598680665425,62303.598680665425,1029.557392345921,1029.557392345921,1029.557392345921,1029.557392345921,1029.557392345921,1029.557392345921,0.0,0.0,0.0,63333.15607301135
2024-01-11,62303.13437813024,53875.84459651233,71270.33603333254,62303.13437813024,62303.13437813024,481.1919617936209,481.1919617936209,481.1919617936209,481.1919617936209,481.1919617936209,481.1919617936209,0.0,0.0,0.0,62784.326339923864
2024-01-12,62302.67007559507,52989.94810565744,70518.33995006292,62302.67007559507,62302.67007559507,-484.2725411972171,-484.2725411972171,-484.2725411972171,-484.2725411972171,-484.2725411972171,-484.2725411972171,0.0,0.0,0.0,61818.39753439785
2024-01-13,62302.2057730599,54358.5682135066,71439.17670066596,62302.2057730599,62302.2057730599,586.0697925576703,586.0697925576703,586.0697925576703,586.0697925576703,586.0697925576703,586.0697925576703,0.0,0.0,0.0,62888.275565617565
2024-01-14,62301.74147052472,53156.35421831825,70037.22140690801,62301.74147052472,62301.74147052472,-409.99405601426463,-409.99405601426463,-409.99405601426463,-409.99405601426463,-409.99405601426463,-409.99405601426463,0.0,0.0,0.0,61891.74741451046
2024-01-15,62301.277167989545,53346.83211208274,70168.27556224502,62301.277167989545,62301.277167989545,-470.12985393913385,-470.12985393913385,-470.12985393913385,-470.12985393913385,-470.12985393913385,-470.12985393913385,0.0,0.0,0.0,61831.14731405041
2024-01-16,62300.81286545436,52549.51433250711,69547.46493215249,62300.81286545436,62300.81286545436,-732.4226955511574,-732.4226955511574,-732.4226955511574,-732.4226955511574,-732.4226955511574,-732.4226955511574,0.0,0.0,0.0,61568.39016990321
2024-01-17,62300.34856291919,54960.56375119508,71899.73845468287,62300.34856291919,62300.34856291919,1029.5573923487561,1029.5573923487561,1029.5573923487561,1029.5573923487561,1029.5573923487561,1029.5573923487561,0.0,0.0,0.0,63329.90595526795
2024-01-18,62299.88426038402,54522.72213445184,71686.8004969421,62299.88426038402,62299.88426038402,481.19196179362524,481.19196179362524,481.19196179362524,481.19196179362524,481.19196179362524,481.19196179362524,0.0,0.0,0.0,62781.07622217764
2024-01-19,62299.41995784884,53205.0025804623,70605.95970200644,62299.41995784884,62299.41995784884,-484.2725411949574,-484.2725411949574,-484.2725411949574,-484.2725411949574,-484.2725411949574,-484.2725411949574,0.0,0.0,0.0,61815.14741665388
2024-01-20,62298.955655313664,54211.86365591505,71880.18695085566,62298.955655313664,62298.955655313664,586.0697925585107,586.0697925585107,586.0697925585107,586.0697925585107,586.0697925585107,586.0697925585107,0.0,0.0,0.0,62885.025447872176
